body;question;categorie
"l'abstention révèle une signification ; je pense que cela ne signifie pas la non pensée et que l'abstentionniste n'a rien à dire bien au contraire… souvent il ne se reconnait pas dans les programmes proposés ou ceux ci ne répondent pas aux attentes du citoyen abstentionniste… (enfin ce n'est que mon avis ;) )";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"le vote blanc est un suffrage exprimé à la différence de l’abstention ,
chaque citoyen a le droit de n’être pas d'accord avec les choix proposés,  au cas ou le vote blanc serait majoritaire que faudrait il faire?
recommencer l'élection ? ce qui prendrait beaucoup de temps
voter pour les candidats du premier tour ayant réalisé plus de 15% des suffrages exprimés? ";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Bonjour, 

Je pense en effet qu'il faut reconnaître le vote blanc, j'irai toutefois plus loin. Il faut reconnaître le vote blanc et l'abstention. En effet si en pourcentage Abstention + votre blanc = 50% + 1 voix, alors l'élection est invalidée et il n'y a pas de vainqueur. De plus, les candidats s'étant présentés n'ont plus le droit de se représenter pour cette élection. Ceci afin d'éviter qu'un président/député soit élu avec 0.5 français sur 10 votant (CF élection récente de certains députés) qui sont légitimes mais pas représentatif des concitoyens. 

Cordialement";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
oui bien sur;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
pour !;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Dans l'immédiateté je suis contre une prise en compte du vote  blanc. Car même si je peux concevoir les différents sens qui ont été développés dans les différents messages. Nous n'en connaissons pas leurs proportions. Il faudrait permettre au votant blanc d'expliquer les raisons de vote (type QCM) . 
Puis cela soulève un point sur le fonctionnement du gouvernement durant les élections, car avec l'introduction du vote blanc, cela peut conduire un immobilisme néfaste au pays (cf Election Fédéral en Belgique de 2010. D'ailleurs en 2014 le Sénat Belge, pour la première fois, n'a pas été élu au suffrage universel direct), car si on reste sur un système d'élection à la majorité absolue, au dernier tour il y aura toujours 2 candidats + le blanc (qui sera sûrement instrumentalisé pour bloquer le second tour). Pour qu'il existe qu'un candidat puisse réunir spontanément plus de 50% il faudra qu'il soit très très généraliste (voir populiste).";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Merci de ne pas tenir compte ma référence aux élections fédérales belges. Je n'ai pas d'élément de preuve justifiant de la causalité entre les deux événements.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Le vote blanc doit être comptabilisé uniquement à titre d'information car il doit permettre au citoyen et aux pouvoirs publics de mesurer la densité du corps électoral. Il ne peut exprimer une opinion en soit car des raisons conjoncturelles et locales peuvent expliquer la disparité des résultats. Pour augmenter la participation, il faut de meilleurs candidats et favoriser le vote électronique ou bien autre idée le vote par procuration 
dun membre pour toute la familiale.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Bien sûre qu'il faut reconnaitre le vote blanc ,même l'abstention,cela permet de définir une frange de la population qui s'exprime. En savoir exactement le pourcentage. Cela pourrait ramener un panel de la population vers les urnes. Cela permetterait a nos jeunes peut être de s'intéresser un peut plus aux elections . Car n'oublions pas que en france nous avons cette chance de pouvoir voter . Mais il faut revoir le système;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"tout à fait contre le vote électronique dans lequel je n'ai aucune confiance. Rien de tel que le vote ""papier"", physique, bien plus facilement contrôlable par les citoyens lors des dépouillements.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Il me parait normal que le vote des citoyens qui font l'effort de se déplacer aux urnes pour voter blanc soit reconnu. En revanche, il faudrait que nos politiques tiennent compte dans leur prise de décision ultérieure à l'élection de ce %.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
C'est pas faux, mais dans ce cas il faut faire évoluer le système et modifier peut-être cette histoire de 50% pour prendre en compte le vote blanc afin d'éviter ce genre de situation.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le QCM c'est une mauvaise idée, faudrais pas non plus qu'on passe trois heures dans les bureaux de votes.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Et un avis juste je pense, j'irai même plus loin en disant que ce sont des gens qui ne se reconnaissent plus dans le système actuel .;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Je pense qu'il est nécessaire de reconnaitre le vote blanc en partie dans une optique de développement durable.

Notre Constitution prévoit un président fort qui a le soutient d'une majorité de Français. Cette façon de pensée a fonctionné et fonctionnera encore dans le futur. Mais pour fonctionner, elle repose sur l’adhérence des Français au programme du président. 
Depuis 7 ans, nous assistons à une baisse de l’intérêt à la politique mais aussi à une multiplication des groupes politiques. Nous sommes partis d'une fracture droite gauche à cinq grands partis. Notre président gouverne avec plus d'électeurs contre lui que pour lui.

De ce fait, je pense que dans le cas ou à l'issue du premier tour des présidentielles, il n'y a pas de consensus (ie aucun candidat n'arrive avec au moins 30% des voix). Il faut reconnaitre le vote blanc pour le second tour et refaire des élections s'il arrive en tête. Ainsi de suite, jusqu'à ce que les Français retrouvent un programme qui les unissent.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Le problème si on permet d'élire un président ou un député avec moins de 50% des suffrages (le blanc ne pouvant pas être substitué par une personne ou une association de personnes car elle n'aura pas présentée sa candidature), c'est qu'on retombe dans le travers de la légitimité. 
Même pour les législatives cela pose un problème, on pourrait en effet réserve des siège au vote blanc et le faire intervenir à chaque vote de texte mais cela impose de connaître l'identité des votants pour que eux seuls puissent voter ce qui va à l'encontre des libertés et en plus ça confère un pouvoir supérieur à ces citoyens car ils peuvent ingérer directement sur la décision publique ce qui constitue une inégalité entre citoyen à mon sens.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Le problème que si on permet l'élection a moins de la majorité absolue se posera toujours le problème de la légitimité. Puis on ne peut distribuer le vote blanc à une personne ou une association de personnes car ils n'auront pas présenter leur candidature et présenter leur programme à l'ensemble des citoyens.
Même pour le législative, ça pose problème. On peut sert réserver des siège au vote blanc mais ça implique d'identifier ses votants ce qui contre l'anonymat du vote et en plus cela leur conférerai plus de pouvoir car ils ingéreraient directement dans la décision publique ce qui constitue une  inégalité à mon sens.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"





Tu sous-entends que les candidats ne sont pas des personnes animés d'une conviction politique et que leur pensée est modelable en fonction de l'opinion publique.

Pour éviter de multiple élection, le plus simple est soit :
De leur demander de proposer un ensemble de programme indépendant entre eux et on choisi le meilleur des meilleurs
De rédiger des programmes à tiroir, on coche la proposition qui nous convient le plus

Ou alors en amont des élections tout les citoyens contribue et vote le programme et on poste une offre d'emplois : ""Recherche Président(e) de la République"" en CDD etc... et on vote pour celui qui semble le plus compétent pour cette tâche. Mais bon si on pousse le raisonnement, on arrivera finalement à ce qu'on a aujourd'hui car on voudra s'assurer qu'il est en phase à le programme de façon ""naturel"".";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Pas vraiment, je pense surtout qu'un groupe politique et donc le président ne peut pas diriger la France si il n'a pas  les Français avec lui. Il faut donc trouver une solution pour que si cette situation se présente, un mécanisme à trouver ramène les Français ensemble. 

Au premier tour, on choisit tous un programme en fonction de nos convictions. Mais entre les deux tours, il y a souvent des compromis qui apparaissent. Le programme s'adapte afin de convaincre le plus d'électeurs. Pas parce que les personnalités ont moins de convictions mais parce que ces personnes vivent dans un groupe avec des avis divergents au leur et ces gens prennent en considération les avis des autres. Au moins un peu. Nous sommes en démocratie.

Finalement, Macron est en train d'essayer de réconcilier des Français divisés alors qu'il aurait du le faire pendant la campagne. Je ne dis pas que c'est un travail facile au contraire. Mais c'est un travail nécessaire si le président veux gouverner sans crise.  ";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui, il faut prendre en compte le vote blanc si et seulement si le vote devient obligatoire. Une réelle manière de lutter contre l'abstentionnisme !;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Oui, reconnaissance du vote blanc, mais pour ne pas tomber dans le procès en illégitimité, tout candidat à une élection ""subira"" une élection de midterm s'il n'a pas obtenu une majorité absolue, ce qui lui donnera l'occasion de défendre son action...ou pas!
Pour l'élection présidentielle une majorité relative serait suffisante, car remettre en jeu le mandat à midterm ne permet pas de mettre en oeuvre un programme.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"oui il faut prendre en compte le vote blanc
";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Il faut d'abord supprimer le vote majoritaire à 2 tours et instaurer la proportionnelle . le vote blanc signifie que l'on ne se reconnait pas pour les propositions (cas du RIC) ou les candidats. Une abstention signifie que l'on ne se reconnait pas  dans le système électoral. Il n'a pas à être compté. Que faire si le vote blanc est majoritaire (plus de 50% des suffrages ) ? Dans le cas d'un RIC: annulation de la consultation. Dans le cas d'élection de représentant: élire les élus sur la liste en proportion et faire un tirage au sort sur la liste électorale pour représenter les blancs
";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Contre car cela revient à ajouter un autre candidat et donc diminue mécaniquement le % de voix du/de la candidat(e) élu(e)... Et donc par extension sa légitimité...
Le seul cas où le vote blanc change la donne, c'est lorsque le vote blanc arrive majoritaire et annule donc l'élection... Mais ça ne changerai pas LE problème : avoir des candidats représentatif ";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Pour moi le vote blanc est une abstention active, il doit être pris en compte dans le cadre d'un vote devenu obligatoire, avec possibilité de vote par correspondance ou électronique.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"il faut ABSOLUMENT prendre en compte le vote blanc. Et si l'élection aboutit à un résultat ou les candidats ne sont pas élus parce qu'ils n'ont pas assez de votes. Et bien, faire dans certains pays : revoter en interdisant aux candidats rejetés de se représenter. Ainsi toutes les opinions seront prises en compte ET les élus seront réellement légitimes.
En contrepartie, voter doit devenir un obligation, comme en Belgique.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
D'accord pour reconnaître le vote blanc, ça n'a pas le même sens que l'abstention ou le vote nul : c'est un message adressé aux candidats, il faut donc le comptabiliser à part au même titre que les candidats;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui, si le votant ne se retrouve dans aucun des candidats, son avis doit être respecté et pris en compte.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Bien sur que le vote blanc doit être reconnu. Le vote blanc signifie souvent qu aucun des candidats présentés ne correspond à nos choix. Mélanger les votes blancs avec les bulletins nuls et non exprimès est insultant pour ceux qui ont fait ce choix et les pousse à l abstention !   Si aucun candidat ne réuni la majorité des votants en comptabilisant les blancs, alors l élection doit àetre annulée et refaite avec d autre programmes ou candidats....

Les résultats des derniéres législatives auraient toute autre allure si cela avait été le cas !
";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Je ne suis pas d'accord avec le vote blanc: l'offre politique, dans un Etat démocratique comme la France, est suffisamment bien construite, diversifiée, pour que le citoyen s'y retrouve . Prendre position dans le débat démocratique fait partie du devoir du citoyen. ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Absolument! 
Sans aucun doute,  chacune des voix des Français est à prendre en compte.  Un vote blanc n'est pas un vote nul,  c'est un vote qui n'est pas en accord avec les propositions qui lui sont faites ";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Tout à fait;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
pour, si aucun des candidats n'obtient la majorité par rapport aux votes blancs, l'élection doit être refaite avec d'autres candidats;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Il faut d’abord rendre le vote obligatoire car voter est un devoir pour tout citoyen bénéficiant des droits que la société lui accorde. Ensuite, reconnaître le vote blanc permettrait en effet de mesurer le manque d’intérêt que suscitent les offres politiques des candidats en lice. Mais quelle analyse pourrait-on en tirer ? Aucune. Les raisons seraient inconnues et certainement aussi multiples que les citoyens qui l’auraient exprimé. Même si une majorité de citoyens ne voulaient pas des politiques en place, quelle alternative pourrait-il y avoir ? Recommencer l’élection ?  En votant pour qui ? Pour de nouveaux politiques ? Mais qui sortiraient d’où ? Le vote blanc est un non choix, ce qui revient à faire le choix de ne plus avoir de choix. Il est toujours plus facile de hurler avec les loups que de s’engager pour changer les choses.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Il faut d’abord rendre le vote obligatoire car voter est un devoir pour tout citoyen bénéficiant des droits que la société lui accorde. Ensuite, reconnaître le vote blanc permettrait en effet de mesurer le manque d’intérêt que suscitent les offres politiques des candidats en lice. Mais quelle analyse pourrait-on en tirer ? Aucune. Les raisons seraient inconnues et certainement aussi multiples que les citoyens qui l’auraient exprimé. Même si une majorité de citoyens ne voulaient pas des politiques en place, quelle alternative pourrait-il y avoir ? Recommencer l’élection ? En votant pour qui ? Pour de nouveaux politiques ? Mais qui sortiraient d’où ? Le vote blanc est un non choix, ce qui revient à faire le choix de ne plus avoir de choix. Il est toujours plus facile de hurler avec les loups que de s’engager pour changer les choses.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"oui , le vote blanc marqque le respect du votant pour la democratie mais marque aussi la perplexite dans laquelle il se trouve face aux propositions des politiques
bon ca ne dit pas ce qui le gène
on pourrait proposer au votant blanc de laisser une note pour expliquer sa perplexite dans l’enveloppe du vote ??";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"oui au vote blanc car l’electeur qui vote ainsi marque son attachement au focntionnement de la démocratie mais exprime aussi sa perplexite face aux débats politiques proposés
est ce que dans l’enveloppe du vote blanc on pourrait permettre l’ajour d’un commentaire propositif  à l’attention des candidats pour orienter leur activité politique à venir ?";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui, bien sûr, lorsqu'un électeur se déplace pour exprimer qu'il ne veut voter pour aucun des candidats, il affirme un choix, une opinion, il faut donc le prendre en compte. Au contraire de l'abstention qui peut n'être que de la paresse de se déplacer.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"oui car l’electeur qui vote blanc manifeste son interet pour l’institution mais aussi sa perplexite face aux reponses des politiques.
Ce qui serait interessant c’est d’initier une methode pour connaitre les raions de chaque vote blanc afin d’aller plus loin dans l’ajustement des politiques";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
là ça risque d'être compliqué. peut-être quand on passera au vote électronique, qui sait?;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Oui absolument;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Je partage complètement ce point de vue ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
je partage le point de vue;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
oui a prendre en compte car c'est un vote où une personne s'est exprimée contrairement aux abstentionnistes.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
J'estime que le vote blanc doit être pris en compte.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Les gens qui votent blanc ont fait l'effort de venir voter, ils souhaitent exprimer quelque chose. Comment peut on vouloir ne pas en tenir compte?;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
voter blanc est un choix, un  moyen de faire savoir qu'on aime pas le choix à faire lors des élections... le citoyen s'est déplacé pour voter blanc, sa voix doit être entendue;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Ahh ben vous avez de la chance vous de vous y retrouver parmi un tas de candidats tous aussi nul l'un que l'autre. Nul ou pas du tout apprécié. Vous arrangez ça à votre manière. POUR LE VOTE BLANC !!
";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le vote blanc est un moyen de dire que les listes de candidats qu'on nous propose ne nous intéresse pas, on peut très bien voter pour quelqu'un qui est éliminés dès le au 1er tour  et si au second tour personne ne nous intéresse on fait quoi ?? On n'est tout de même pas obliger de donner son vote pour quelqu'un, sous prétexte que celui qu'on voulais n'est plus au second tour. Donc on vote blanc..... Mais pour cela le vote blanc doit être reconnu comme si il était un candidat et le nombre de blanc arrive à 50% le vote est nul, il faut donc refaire une campagne électoral, avec d'autres candidats ou listes pour remplacer tout ceux qui n'ont pas eux un certains pourcentage de votes. Exemple, tout ceux qui sont en dessous de 15% sont éliminés et remplacés pas d'autres candidats ou listes qui eux essaieront d'atteindre les 50% et + qui les déclareront gagnant du vote. Et là notre vote blanc aura servi à quelque chose, on pourra enfin dire qu'on nous écoute !!;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Vous pensez un peu à ceux qui du jour au lendemain peuvent avoir brutalement 39° de fièvre, être hospitalisé, ou gravement blessé, vous allez me répondre qu'il faut développer le vote en ligne. Mais réfléchissez que tout le monde n'est pas obliger d'avoir un ordinateur à la maison, soit par manque de moyen,  ou tout simplement parce qu'ils n'en veulent pas, comme les Seniors, vous avez la prétention de les obliger à s'équiper contre leur désir ?? ou encore que le citoyen est hors de France et/ou hors de sa circonscription et pour le vote par procuration, nul n'est obliger de faire confiance à personne, même pas à sa famille pour voter à sa place. Si le Gouvernement en arrivait là, je serai la première à dire qu'il ni a plus de république et qu'on doit leur obéir comme des enfants. Donc pas d'accord le vote ne doit pas devenir obligatoire !!;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Zut, je me suis mis un pouce en bas (rouge) au lieu d'en haut (vert). Donc je rectifie avec ce commentaire pour dire que je suis d'accord avec ce que je dit. Vous seriez capable de dire que je ne suis pas d'accord avec moi même !!;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Je n'ai aucune prétention, j'expose juste mon point de vue. Bien évidemment, en cas d'hospitalisation ou de maladie, une dispense suffirait à lever l'obligation. Et non, je ne suis pas pour le vote en ligne, d'une part effectivement parce que certaines personnes ne sont pas équipées, mais surtout parce que je considère que voter est un acte fort, un acte qui nous protège de la dictature, de la loi du plus fort (ou de la loi de celui qui crie le plus fort), un acte fondateur de notre société, aussi imparfaite soit-elle, et qui ne peut être fait entre la poire et le fromage tout en regardant sa série préférée. En réalité, pour moi, il ne s'agit pas de savoir si le vote blanc a du sens ou pas (bien sûr qu'il en a un !),  il s'agit de savoir où il peut nous mener. Combien de fois faudra-t-il refaire l'élection si les votes blancs empêchent toute majorité d'émerger ? Qui paiera les frais de campagne ? Les gens oublient que la politique, comme la vie, est affaire de compromis et de respect. ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Sacré boulot pour ceux qui seront en charge du dépouillement. Qui fera la synthèse des propositions, qui s'assurera de leur bonne interprétation ? Non, ça ne me semble vraiment pas possible...;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Même si les votes blanc ont la majorité, cela ne signifie nullement qu'il  sont d'accord entre eux, ils ne représenteront jamais qu'une multitude de ""non"" pour une multitude de raisons différentes. Si on refait l'élection, on peut facilement imaginer que ceux qui ont voté pour un candidat la première fois voteront blanc par dépit la deuxième fois. Et alors ? On recommence ? Encore et encore ?... Dans une démocratie, il faut accepter de perdre, respecter la position dominante même si elle n'est que relative et aux antipodes de notre courant de pensée. Et ensuite, on s'engage pour faire avancer nos propres idées, c'est un boulot, ça prend du temps, mais c'est la seule voie raisonnable. L'autre voie consiste à crier et à tout casser en croyant qu'on va obliger les autres à tout changer à notre place, à faire exactement comme on le veut, mais ça ne marche pas, ça n'a jamais marché. Quand on en arrive là, on est tous perdants.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
"Pour
Il est anormal que quelqu'un qui fait la démarche de se déplacer pour voter ne puisse pas être entendu au motif qu'aucune option ne lui conviennent. Si le vote blanc remporte l'élection celle ci doit être recommencer, avec d'autres candidats ou listes. Les candidats ou listes n'ayant pas obtenus 5% ne pouvant se représenter à cette nouvelle élection.";Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Tout à fait d'accord avec  Justin TIME. Pour pousser le raisonnement à l'extrême, il faut bien que des gens fassent de la politique et s'engagent pour assurer le fonctionnement de l'état, des collectivités... Signifier par un vote blanc que personne ne plait n'avance à rien. Soit on s'engage, soit on délègue et dans ce dernier cas, on a encore la chance en France d'avoir une offre politique variée, quoi qu'on puisse en penser.  En cas de second tour,  le choix est forcément plus limité et je prône l'utilitarisme. Il reste toujours un candidat plus proche ou moins éloigné de ses convictions et  il faut accepter la règle de la majorité tant qu'on reste dans une démocratie (on a vu dans le passé des majorités se transformer en partis totalitaires et ce qui se passe dans certains pays Européens doit nous rendre prudents ).           ;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
Le vote blanc exprime un mécontentement de la part des citoyens, il doit donc être pris en compte voir permettre de recommencer les élections.;Faut-il reconnaître le vote blanc ? ;Démocratie et citoyenneté
non, l'intégration du vote blanc dans les comptages suffirait à renvoyer les gens aux urnes;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Il faut rendre obligatoire le vote dans le cas des élections parlementaires et à la présidentielle (législative et présidentielle),
en intégrant en prime une forte part de proportionnelle et la prise en compte du vote blanc.

Le vote n'a pas pas besoin d'être obligatoire dans le cadre des élections locales et extra-territoriale (européennes).";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Il faut rendre obligatoire le vote et la prise en compte du vote blanc.

";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
Non;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"OUI
On est citoyen ou on ne l est pas
Si on ne l est pas,on perd les droits du citoyen";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
Oui. Tout le monde doit s’exprimer sur l’avenir et les choix pris pour le pays;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
le vote doit être obligatoire pour chaque Français à condition que le vote blanc soit comptabilisé !;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Il faut rendre obligatoire le vote ET la prise en compte du vote blanc. Ne pas voter c'est laisser les autres choisir à notre place.
Il est trop facile de critiquer l'action du président lorsqu'on est même pas allé voter! ";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"non mais en devenant une ""meritocratie"" chaque votant aurai le droit a une prime";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
Pour. Droit et devoir mais à condition que le vote blanc soit pris en compte, autrement non.;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Non pas nécessairement par contre reconnaissance du vote blanc + Abstention et en cas de Vote blanc + Abstention = 50% + 1 voix, annulation de l'élection et convocation à une nouvelle élection avec des candidats différents. 
Interdiction aux candidats qui n'ont pas convaincu de se représenter à cette seconde élection, ceci afin d'éviter des députés/maires/présidents élu avec 10% du corps électoral. 

Cordialement, ";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"oui, ca se fait chez nos voisins belges, le vote se déroule sur une semaine ou les citoyens peuvent voter pendant leurs heures de travail
voter est un droit c'est aussi un devoir civique";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Je suis contre aussi mais pas sûr qu'il faille mettre l'abstention au même niveau que le vote blanc qui serait un suffrage exprimé en cas de reconnaissance du vote blanc.
C'est pas parce que les gens s'abstiennent que les candidats sont forcément nuls, il faut bien l'admettre, il y en a aussi qui en ont rien à faire :)";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
Rendre le vote obligatoire risquerait de créer encore plus de défiance de la part des citoyens vis à vis des élus. Il peut être judicieux de le rendre obligatoire sous certaines conditions exceptionnelles comme par exemple dans le cas d'un second vote à une élection caduque dont le résultat indiquerait une trop faible participation ou bien une élection dont le résultat serait trop serré.;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
oui , rendre le vote obligatoire, avec sanction a la clef, pour les abstentionnistes, car bien souvent ceux qui se plaignent sont ceux qui ne vont pas voter.;Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
"Liberté ne fait-elle pas partie de la devise de notre République ?
Je vais voter à chaque élection depuis 34 ans mais je suis absolument CONTRE le vote obligatoire. 
Chacun prend ses responsabilités. 
";Faut-il rendre le vote obligatoire ?;Démocratie et citoyenneté
