body;question;categorie
"il faudrait aussi revoir la taxe foncière : que les primo accédants sans patrimoine, sans héritage, sans argent à la banque, qui empruntent pour acheter soient exonérés le temps de l'emprunt et par contre, que les héritiers, ceux qui disposent d'un patrimoine, d'un gros compte en banque paient davantage pour compenser. 
Parce que là, une personne à tourcoing qui achète une maison à 150 000 euros (avec 145 000 euros d'emprunt) va payer la même taxe foncière qu'une personne qui hérite de la même maison ou qui la paye cash... ce n'est pas juste.";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Remettre plus de tranches d’imposition de façon à mieux répartir l’impôt sur le revenu. Chaque citoyen doit payer cet impôt sur le revenu car chacun bénéficie de services publics. Même une personne au RSA devrait payer 1 euro symbolique. ;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
mauvais clic de souris je suis pour;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Il faut mettre une tranche supplémentaire pour les citoyens les plus riches et moins imposer les classes moyennes qui gagnent trop pour toucher des aides et pas assez pour vivre dignement il ne faut surtout pas imposer ceux qui ont de faibles ressources ;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"mauvais clic aussi. je suis d'accord avec vous (dommage qu'on ne puisse revenir en arrière avec ces ""j'aime et j'aime pas"" lol.
j'ajoute que des tranches supplémentaires reviendrait à oublier l'isf qui handicap les petits revenus qui ont hérité d'une belle maison, c'est ce que j'ai vu sur l'ile de Ré, par exemple. de simples pêcheurs qui héritent d'un bâtiment de leur ancêtre sont obligé de payer l'isf (c'est encore un exemple) et sont obligés de vendre un bien auquel ils tiennent pour éviter cet impôt parfois injuste. une ou deux tranches d'impôt en plus serait la solution";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
rétablissez L'I.S.F.;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
c 'est tout à fait vrai il faudrait supprimer la csg  sur les retraites sauf les plus importantes depassant 3000 euros;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Augmenter la fiscalité des grands groupes internationaux payant leurs impots dans les paradis fiscaux
Créer un impots just pour tout les français vivant à l'étranger";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Créer un impot français pour ceux vivant a l'étranger et souhaitant garder la nationalité française (stars, sportifs, etc..);Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"* Augmenter le nombre de tranche pour diminuer les effets de seuils
* Pratiquer l'indexation sur le salaire, à l'image de ce qu'on faits les finlandais pour les amendes routières
* Taxer sans état d'âme l'évasion et la fraude fiscale";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
La priorité est la progressivité de la fiscalité : ceux qui gagnent plus sont davantage imposés. Notre société ne peut fonctionner sans cela : c'est un principe de solidarité, afin de réduire des inégalités toujours plus criantes.;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Que chacun contribue a hauteur de ses moyens, même 1 euro symbolique.
Je trouve aussi intéressante l'idée de taxer plus les produits de luxe. 
Lutter efficacement contre l'évasion fiscale. ";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Taxer TOUS les revenus, à partir du premier euro, de façon très très PROGRESSIVE, et en taxant à 60% les plus riches, ceux qui perçoivent plus du double de la moyenne ou de la médiane des revenus des français.
Inventer un impôt spécifique pour taxer les entreprises du CAC40
Réinstaurer l'ISF  pour les revenus non immobiliers ET en le déployant plus pour qu'il touche plus de revenus, mais pas les transferts d'entreprises.
Taxer TOUTES les transactions financières
Taxer les produits de luxe
Lutter contre l'évasion fiscale ET en mettant des amendes très très dissuasives aux fraudeurs (ex. amende = montant de la fraude)
Simplifiant la CSG
";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Lutter contre l’optimisation fiscale et taxer les sociétés style GAFA.;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Les gros revenus ont un travail bien payé parce que..??techniquement difficile, a haut risque de responsabilité , chronophage, à charge mentale élevée. Certains travaillent plus de six mois par an avant devrecevoir un revenu à leur usage, les dix ou sept premiers mois sont donnés à la collectivité. Et en plus il leur est reproché d’etre Ce qu’ils sont, exigeants, compétents, rares, et riches.. de leur travail. Tout le monde devrait payer l’impot sur le revenu..;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Supprimer un certain nombre de niches fiscales;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"La véritable question est quelle marge de manœuvre la commission européenne permettra t elle si réellement l Etat souhaitait mettre de l équité fiscale ?
Quelle que soit la question cher(e)s concitoyen(ne)s qui nous ai posé est d avoir en tête que la France aussi grande et forte qu'elle puisse vous paraître est en 2018 sujette à des puissances que sont les marchés, l UE ET l OTAN...";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Maintenant que le prélèvement à la source est en cours il faut que les contraventions soient fixées en fonction de l'infraction certes mais également en fonction des revenus. Une personne qui reçoit une contravention de 90 € pour un salaire de 1100€ et plus pénalisée qu'une personne qui perçoit 3000 €. La sanction doit être équitable et elle ne l'est pas. Cela existe déjà en Europe.;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Plus juste : On supprime la progressivité de l'impôt : Celui qui gagne 10 fois plus paie 10 fois plus d'impôt (et non 100 fois plus comme maintenant)

Plus efficace : pour que : ceux qui réussisses aident ceux en difficultés. Mettre une progressivité qui ne décourage pas l'initiative et la prise de risque . Donc tranche maxi à 35%

Ou alors, des tranches supérieures mais avec un mécanisme de restitution en cas de mauvaise fortune. 
";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Les moyens de ceux qui sont en dessous de 1200€ et même moins 1000€ ou 900€ par mois ne permets pas à ces citoyens. Il ne manquerait plus que ça que l'impôt soit soumis à tout les citoyens, y compris à ceux qui on du mal à se mettre quelque chose dans l'assiette arrivé en fin de mois !!
";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
Tout a fait c'est eux qui doivent payer et non pas le citoyen qui n'a même pas 1000€ par mois de retraite, après avoir trimer toute sa vie !!;Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Rechercher et sanctionner l'évasion fiscale
Mettre en place un plan contre l'évasion fiscale
Taxer les GAFAS
Taxer le kérosène des avions et bateaux.
Refaire le bilan coût/avantage toutes les niches fiscales et les dispositions de défiscalisation
Taxer les industries émettrices de pollution lourde qui refusent de rechercher des solutions pour baisser leurs émissions, y compris lors des pics de pollution, récompenser celles qui ont réduit leur coût environnemental
Rétablir l'ISF";Comment pourrait-on rendre notre fiscalité plus juste et plus efficace ? ;impôts, dépenses, action publique
"Aucun impôt est à supprimer car celui-ci est l essence du développement de notre Pays.
Par ailleurs les impôts doivent être équitablement répartis. Tous les français doivent contribuer à l impôt à hauteur de ses moyens.
Un minimum de 10 tranches sont nécessaires afin de répartir les contributeurs.
Étant tous les actionnaires de l'Etat, nous devons être tenu informé en toute transparence de leur utilisations.
"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"-baisser la tva sur les produits alimentaires de base (savons, pommes de terre, pâtes, couches pour bébé, serviettes périodiques, sucre, sel, etc) et l'augmenter sur les produits de luxe 
 -supprimer le cice sur les grandes entreprises, le maintenir pour les pme (et ne pas le maintenir sur les salaires au-delà de 1,6 smic)
-revoir les taxes sur les petits héritages"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Il serait souhaitable de modifier la TVA :
en qualifiant 3 types de bien ou services :
- les produits de 1ère nécessité avec une TVA à 5%
- les produits courants avec un TVA à 15%
- les produits de luxe avec une TVA à 30%

Cette qualification pourrait s'effectuer par la nature même des biens et services et par le prix
par exemple : 
une voiture d'occasion pourrait être un produit de 1ère nécessité
une voiture neuve à moins de 25000 euros un produit courant
une voiture neuve à plus de 25000 euros un produit de luxe

ce n'est qu'un exemple
ça permettrait de rétablir un peu de justice pour cet impôt le plus injuste"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"on est raccord ;)"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
bonne idée; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Revenir au principe de l'égalité devant l'impot direct : introduire un impôt pour tous en fonction de chacun : du plus petit au plus gros payeur. Le service public est à tous et doit donc être financé par tous par exemple ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"le niveau de prélévement est certes élevé mais c est surtout la mauvaise utilisation de ces fonds qui pose question
La défunte RGPP avait commencé,fort modestement,à faire l état des lieux.Pourquoi les PRINCES ont ils stoppé ce travail salutaire?
La France vit largement au dessus de ses moyens.La dette s accroit tous les ans
Il faut définir les priorités et stopper toutes les dépenses non prioritaires en résistant aux groupes de pression de tout acabit"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Aucun ! 
Mai si chacun doit payer en fonction de ses revenus. Tout ceux qui touche des aides doivent y contribuer. "; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Il est normal de payer des impôts pour le fonctionnement de notre pays e fonction des moyens de chacun. cependant  baisser de manière significative la TVA sur les produits alimentaires et d'hygiène de base qui concerne tout le monde quelque soit ses revenus et augmenter pour compenser la TVA sur les produits de luxe ! ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"L'impôt devrait être payé par TOUS et non par moins de la moitié des citoyens, en fonction des revenus et du niveau de vie.
La TVA devrait être réduite sur les produits de première nécessité, parmi lesquels j'inclus les fruits et légumes, la viande et les produits non transformés, mais pas les sodas, gâteaux, ni le sucre! Elle devrait être augmentée sur les produits dangereux pour la santé, les produits polluants et les produits de luxe."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Il faut surtout rétablir l'égalité devant l'impôt : suppression des niches fiscales et lutte contre la fraude.  Il serait aussi souhaitable que tout le monde paie l'impôt sur le revenu, et de manière plus progressive (pourquoi avoir supprimé les tranches supérieures). Aujourdhui  du fait des niches fiscales ce sont principalement les classes moyennes et aisées qui paient l'essentiel de cet impôt. La TVA pourrait être réduite sur les produits les plus courants pour accompagner les personnes ayant les revenus les plus faibles. Mais globalement le niveau de l'impôt ne peut pas être réduit si on ne réduit pas la dépense. Notre dette est deja de 1700 Milliards, et son poids annuel de 40 Milliards. A mon avis il faudrait surtout maîtriser nos dépenses de santé qui se traduisent par un poids important des charges salariales et patronales et contribuent à des niveaux de salaire net faibles dans notre pays.
Et par ailleurs questionner toutes nos dépenses publiques à l'aune de leur efficacité"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"que tout le monde y participe. 
que la taxe d’habitation soit plus équitable et revu (ce qui est prévu) mais quelle soit remplacée pour que les communes aient des ressources
taxer les entreprises qui font des bénéfices dans notre pays (google facebook amazon...)
limiter les taxes sur les produits bon pour la santé et augmenter ceux qui sont nocifs "; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"1) Dés lors que seule la ""baisse""est envisagée, la question est biaisée.
2) D'abord réduire la TVA payée par tous au même taux sans référence aux revenus.
3) Garantir une réelle progresivité de l'impôt, sans protéger les plus hauts revenus"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Diminuer la TVA sur les produits alimentaires et d’hygiene et l’augmenter sur les produits de luxe voire même d’électronique. C’est bien beau de voir le prix des TV baisser mais on ne mange pas des steaks d’ecran plats. Prêt à payer 50 euro de plus une TV écran plat que je vais changer au bout de 5 ou 10 ans si cela me permet de payer mon pain quotidien 20 centimes moins cher ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"il faudrait aussi revoir la taxe foncière : que les primo accédants sans patrimoine, sans héritage, sans argent à la banque, qui empruntent pour acheter soient exonérés le temps de l'emprunt et par contre, que les héritiers, ceux qui disposent d'un patrimoine, d'un gros compte en banque paient davantage pour compenser.
Parce que là, une personne à tourcoing qui achète une maison à 150 000 euros (avec 145 000 euros d'emprunt) va payer la même taxe foncière qu'une personne qui hérite de la même maison ou qui la paye cash... ce n'est pas juste."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"la TVA qui pèse en majorité sur les plus faibles dès le premier euro dépensé, en particulier sur les produits de première nécessité, sur les travaux dans l'habitation principale. les dépenses incompressibles, carburant péages loyers..
ce qui pourrait relancer le pouvoir d'achat des ménages sans aucun impact sur l'économie des entreprises qui travaillent hors taxes. "; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
tous les citoyens paient des impôts, il n'y a pas que l’impôt sur le revenu,  ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
ok en définissant correctement les aliments de base : Fruits, légumes et non sucre, sel, ...; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Je suis tout à fait d'accord 👍 ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
c'est vrai que le sucre et le sel ne sont déjà pas très chers; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
L'idée globale est bonne. Rétablissement d'une TVA à 33 % (produits de luxe) qui existait jusque dans les années 80. Par contre la TVA est déjà à 5 % sur la plupart des produits d'alimentation. Donc plutôt une TVA à 0 % pour les produits de 1ère nécessité; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Pour mémoire, tout le monde acquitte la TVA et les plus petits revenus en acquittent proportionnellement plus car ne peuvent épargner (la TVA pèse 13% sur les revenus d'un SMICARD et 7 % sur un ménage avec 100.000 € de revenus.
Ne pas oublier que la fraude fiscale est de l'ordre de 80 à 100 Mds d'€ par an en France et qu'en plus, les plus hauts revenus et les grandes entreprises pratiquent l’évitement fiscal légalement, avec toutes les niches fiscales que leur offre la loi (CIR, CICE, exonérations ...). Les salariés, les retraités sont contrôlés avant même d'avoir fait leur déclaration (leur revenus sont connus et déjà remplis dans leurs déclarations par l'administration. Ce n'est pas le cas des autres revenus professionnels et catégoriels où le contrôle est aléatoire.
Il faut tenir compte de cela dans les propositions."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
OK pour l'impot,mais je pense que en france , on a notre dose ,a Bercy on ne sait plus quoi inventer pour vous le prendre,quand je pense que Mr Macron nous parle d'impot injuste!!! pourquoi,il y a des impots juste,ou juste des impots . Un petit florilège d'impots ou taxes injustes, par exemple ,mettre dans la retraite imposable de la CSG non déductible, sur les factures ,eau ,electricite,gaz ,mettre de la TVA sur des taxes, comme si iln'y en avait pas encore assez. Alors arretez de dire ,les impots,les impots,j'en ai payé toute ma vie et arrivé a la retraite,on m'en prend encore et l'on ne se gêne pas . Pauvres de nous , ouvrons les yeux !!!!!!!; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
aucun il faut RÉTABLIR L I S F; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Il ne faut pas trouvé un moyen de baisser les impôts mais il faut équilibrer la balance avec TOUS les français.
 ""Je paie des impôts depuis que j'ai commencé à avoir suffisament de salaire pour mes loger. Je suis célibataire sans enfant et je gagne très lègerement au dessus du smic. Et sa fait des années que je vois des gens qui eux n'en paie pas! Exoneration légal ou juste parce que vous êtes en couple, pourquoi je dois payé pour vous?""
Du principe que l'on gagne le smic, on doit payé de impôt même faible. S'exonération d'impôt doit être éradiqué!
Mais ne taxons pas non plus trop les fortunes, au risque de les voir fuir à l'étranger. Notre président a fait un choix audacieux: Supprimer l'ISF. Je suis pour, enfin dans un premier temps pour faire revenir le fugeur. Puis dans un second, réformer les impôts et créer un impôt OBLIGATOIRE pour tous. Un pourcentage qui lui peut varié selon la situation mais STOP au privilége!"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
" Les citoyens doivent payer les impôts en fonction de  leur niveau de  revenus et patrimoine mobilier/immobilier:
*Taxer le patrimoine mobilier (actions, revenus dividendes, biens de luxe.....) et immobilier
* Rétablir une forte progressivité de l’impôt sur le revenu : au moins 10 tranches d'imposition, dont la dernière vers 70%
*Taxer les flux financiers
*Arreter l'évaTaxer les grands groupes : Amazon, Google, Facebook
"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
" Tous les citoyens doivent payer les impôts en fonction de leur NIVEAU de Revenus et Patrimoine mobilier/immobilier:
*Taxer le patrimoine Mobilier (actions, revenus dividendes, biens de luxe.....) pour les Très Riches;
* Rétablir une forte progressivité de l’impôt sur le revenu : au moins 10 tranches d'imposition, dont la dernière tranche vers 70%;
*Taxer les flux financiers;
*Arrêter l'évasion fiscale et l'optimisation fiscale des  grands groupes : Amazon, Google, Facebook .......
*TVA : ce  n'est pas normal qu'une personne qui gagne le SMIC soit taxé au même niveau que les 10%  des français les plus riches (revenus et patrimoine)."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Toute entrée d'argent est un revenu(allocations diverses, avantages CE..) et devrait être déclarée et c'est sur ce montant que l'impôt devrait être calculé. Tout le monde doit participer même si c'est pour un euro symbolique à l'impôt et les tranches doivent être progressives. La pression sur les classes moyennes est beaucoup trop forte ( les niches fiscales étant à destination des tranches plus aisées ( Pinel...) et génère un fort sentiment d'injustice. 
Concernant les entreprises, il faudrait moduler l'impôt en fonction de plusieurs critères ( effort écologique réel, investissements générant de l'emploi en France) et prévoir des tranches plus nettes en fonction du bénéfice de l'entreprise ( idem tranches sur les salaires).
La TVA doit être baissée pour les produits santé ( fruits et légumes notamment).
Les donations de parents à enfants et à petits enfants  permettent aux classes aisées d'échapper aux frais de succession sur une partie importante de l'héritage  est-ce normal?

"; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"la taxe sur l'essence doit être contenue et une taxation du kérosène sur les vols intérieurs comme le font certains pays ( inde, brésil, pays bas) doit être mise en place. La pollution aérienne est une préoccupation majeure équivalente à la pollution liée à l'automobile. Une taxation global de tous les carburants utilisés pour se déplacer doit être mise en place ( avion, bateaux ).
La taxe sur les transactions financières doit être réformée : elle doit être augmentée et surtout, elle doit concerner les transactions spéculatives qui elles ne sont pas taxées si elles se font sur la journée."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"il ne faut baisser AUCUN impôt. 
Au contraire, il faut augmenter les impôts sur les bénéfices des entreprises qui font plus d'un million d'€ de BÉNÉFICE par an. 
Il faut taxer à au moins 50% les entreprises du CAC40 et les particuliers qui dépassent le million d'€ de revenus par an. 
Il fait instaurer la taxe TOBIN sur TOUTES les transactions financières. Faire la chasse aux optimisateurs / fraudeurs fiscaux et récupérer NOTRE fric. Celui qu'ils nous volent et dont ils privent les services publics.
Il faut mieux organiser la dépense publique. Moins de tralala dans les institutions et plus de sobriété dans les ministères. Plus d'argent sur les services de terrain : collèges et lycées, casernes, postes de police, postes de gendarmerie, hôpitaux, maisons de retraites, etc. etc."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
réinstaurer l'ISF, réinstaurer l'ISF et encore réinstaurer l'ISF !!!!!!!!; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"Je suis d'accord avec l'idée de réduire la TVA sur des produits ""de première nécessité"", notion qu'il faut toutefois bien cerner... Idem pour les taxes sur les entreprises qui favorisent (vraiment) les circuits courts ou le local.
Concernant l'impôt sur le revenu, même si ce n'est pas la part principale des recettes fiscales, j'ai du mal avec le fait que moins de la moitié des salariés y soit assujettis. Et souvent ceux, d'ailleurs, qui n'ont droit à aucune aide par ailleurs. Certes, la TVA touche tout le monde, mais je pense qu'un impôt uniforme, même à l'euro symbolique, procurerait un sentiment d'appartenance au destin commun. Et donc, je serai pour un impôt de type flat tax, dont le taux est à fixer (15%, 20%, ou plus) , mais applicable dès le premier euro perçu (y compris les aides, allocations et autres, qui sont des revenus...).
Sur l'ISF, je trouve que la formule actuelle (on ne taxe que l'argent immobilisé, pas celui qui circule) est intelligente."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Baisser les cotisations sociales patronales pour les PME et TPE qui asphyxient ces entreprises et les empêchent d'employer des salariés.; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
"oui pour l'essentiel, un petit bemol cependant : ne supprimer le CICE (ou son remplaçant) que pour les grandes sociétés de distribution; celles ci ne sont pas  en concurrence avec des sociétés étrangères."; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Absolument d'accord: exiger une contribution même symbolique pour les bas revenus.; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
Surtout pas! il fait fuir les investisseurs qui créent des emplois. Arrêtons de faire croire qu'avec les 3 Milliards  € perdus on aurait pu résoudre tous les problèmes de financement. Par contre, comme vu plus haut, augmenter la TVA fortement sur les produits de luxe. ; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
On ne parle pas assez des impôts locaux de toute sorte, des effectifs de fonctionnaires territoriaux qui ont explosé, quelque fois pour recaser des amis. Diminuer le nombre d’échelons du feuilletage des collectivités territoriales, en conservant les communes et  intercommunalités et les grandes régions: cela fera diminuer le impôts locaux!; Quels impôts faut-il à vos yeux baisser en priorité ?;Impôts, dépenses, action publique
