category,Contributions
"Impôts, dépenses, action publique","Grands patrons, scandales, licenciement & parachutes dorés De récentes actualités ont montré des scandales financiers avec des grands patrons. Dernier en date avec le scandale du patron de Renault-Nissan. Dans ce type de situation, quand la justice met son nez dans les affaires pour scandale financier, piratage de masse, tricherie commercial, fraude … le dirigeant en question ne devrait pas toucher son « parachute doré ». Pour appliquer la mesure rien de plus simple, dès qu’un dirigeant a des intérêts en France, que des avoirs sur le sol français sont en jeu c’est interdire tout ou partie de ces avoirs. Qu’un contrat ai été signé ou non."
Autre sujet,"INSERTION sur le marché du travail Bonjour, 

Mon idée est de développer l'alternance ainsi que la possibilité de faire des stages dès la première année de faculté car nous avons un vrai problème au niveau de l'insertion des jeunes diplômés sur le marché du travail. 

Donner plus de moyens aux entreprises pour la formation. 

Merci pour vos réponses 
"
Autre sujet,"Formations aux métiers manuels Les jeunes pensent que la vie est faite de travail derrière un ordinateur. Plus personne ne veut devenir boulanger, couvreur, maçon, restaurateur. Ces métiers sont bien trop fatigants. Mais une bonne formation au sein de ces filières permet de trouver facilement un emploi. Le système éducatif doit permettre d'orienter vers ces métiers. Tout le monde ne peut pas être ingénieur ou cadre. Ce n'est pas la réforme du bac qui va favoriser l'emploi dans ces métiers. Il faut que ces métiers soient reconnus car ils nécessitent des compétences mais également du courage et donc une juste rémunération. Il faut également tenir compte de la pénibilité de ces métiers et ne pas obliger ces personnes à travailler jusque 65 ans et plus pour qu'ils aient une retraite décente."
"Impôts, dépenses, action publique","Indemnisation chômage On devrait tenir compte du nombre d'années que l'on a cotisé sur nos fiches de payes pour le chômage, et ne pas indemniser tout le monde au même tarif.
J'ai travaillé 30 ans dans la même société donc 30 ans de cotisations ""chômage"", puis 10 ans en contrat aidé.
Mr MACRON va aider la ""grande pauvreté"" grâce notamment à la suppression des contrats aidés qui ""coûtaient trop cher à l'état"". ""Grâce à cela"", j'ai perdu mon contrat le 1er septembre 2018 (à un an de la retraite, on aurait pu me renouveler) et je vais ""grossir"" le chiffre des demandeurs d'emplois (avec tous les problèmes qui en découlent) et me retrouver dans la catégorie des personnes qui vivent en dessous du seuil de pauvreté avec environ 540 €. Le calcul des indemnités ne tient pas compte des cotisations ""chômage"" enlevées depuis 41 ans sur mes fiches de payes mais seulement sur mon dernier salaire. 

"
Autre sujet,Assemblée constituante 6ème République Comment concrètement mettre au point une assemblée constituante  en vue d'une nouvelle constitution
Démocratie et citoyenneté,Fin de vie  des personnes âgées Se pencher sur les problèmes de fin de vie des personnes âgées atteinte d’Alzheimer en particulier
"Impôts, dépenses, action publique","Stopper les 1% d'embellissement annuel Chaque l'état et les collectivités dépensent 500 millions d'euros pour le simple embellissement d'ouvrages ou lieu. Cette dépense doit être stoppée, trop couteuse en temps de raréfaction de l'argent publique.
"
Transition écologique,"Adaptation du materiel sur les petites lignes de TC et de rail  Relancer les mises en services des draisines pour desservir les petites lignes de trains , miniaturiser des BHNS via des minibus sur des lignes en milieu rural et périurbains (max 25 à 30), lancement d'un service ""d'autobus-rail"" qui peut à la fois aller sur les routes et les voies de chemin fer faiblement desservies
"
"Impôts, dépenses, action publique","TIPP sur le fioul des bateaux et le kérosène  Supprimer la niche fiscale sur la non taxation du fioul des bateaux croisière/ferries & la non taxation du kérosène.   
"
Autre sujet,"Le Granddébat .fr trop partial et dirigé Sans prendre position pour l'un ou l'autre, je trouve que le site du granddébat.fr  est fait pour influencer les contributeurs et non pour lancer une vraie concertation :
il faut commencer par répondre à une série de question avant d'aborder le sujet qui nous tiens à cœur,
la mise en page est impossible, donc les textes trop longs sont illisibles
il est impossible de voter pour une idée qui nous semble intéressante.
la quasi totalité de forums n' agissent pas comme cela, il s'agit donc bien d'une volonté biaiser le débat, et de manipuler les résultats.
un début de campagne électorale prématurée aux frais des contribuables."
Autre sujet,"Un prélèvement inégalitaire sur les retraites complémentaires La loi de financement de la Sécurité sociale pour 2018 a supprimé, pour les salariés, outre leur cotisation chômage, leur cotisation maladie. Mais elle a maintenu le prélèvement spécifique  de 1 pour cent sur les retraites complémentaires, 
des retraités.
 Obtenir la suppression de celle ci  serait  que réparer une situation injuste et discriminatoire

"
Démocratie et citoyenneté,"Que les élus assument leur actes En cas de poursuites judiciaires, pas d'immunité parlementaire. si condamnation, renvoi des élus et réorganisation d'un vote...  casier vierge obligatoire... que certains aillent en détention s'il le mérite. les juges sont trop cléments avec des élus qui sont censés montrer l'exemple"
"Impôts, dépenses, action publique","Grands équipements de loisirs, sportifs et folie des grandeurs  Depuis le début des années 2010 on ne compte les nombreux projets de stades, aréna, zéniths et autres salles omnisport. Un exemple concret avec les stades de foot du nord de la France. Autour de Lille dans un rayon de 80 km, pas moins de 8 équipes sportifs dont 6 stades de foot ont été remis en l'état. Ces travaux ont couté la bagatelle de quelques 850 millions d'euros, à lui seul le stade de Lille a couté 350 millions d'€. Ce type d'équipement est bien trop couteux à entretenir (quelques 150 millions pour les stades ans les Hauts de France). Pour preuve que ce type d'infra n'a plus la quote, l'état cherche à vendre le Stade France pour quelques 500 millions d'€. Ici encore de grandes sources d'économies sont à effectuer."
Démocratie et citoyenneté,"Apprentissage des langues (LV2) et pays frontaliers Rendre prioritaire l’apprentissage des langues vivantes (LV2) en fonction des pays frontaliers. Privilégier l’espagnol/portugais/catalan dans le quart sud-ouest de la France, privilégier l’italien et l’allemand dans l’est et le sud-est du pays, privilégier le néerlandais et l’allemand dans le quart nord de la France. Il existe des nombreuses aberrations, par exemple dans le Nord et le Pas de Calais l’apprentissage du néerlandais n’est pas suffisant voire inexistant. Nos voisins belges de la région flamande déplorent un manque d’apprentissage des francophones … alors qu’eux maitrisent parfaitement le français."
,"Revenu sportif, sponsoring, naming & évasion fiscale Dans le domaine du sport tout particulièrement en sport automobile (F1, Rally..), Golf, Foot, Basket, cyclisme, boxe, catch … Les sportif de haut niveau ainsi que les clubs arrivent à trouver des combines pour payer gracieusement leurs athlètes. Arrivé à un moment dans le Foot cela commence à devenir plus qu’indécent avec des salaires de plusieurs centaines de millions d’euros. Sans oublier que les sommes en jeu transitent par la France sans être taxées ou alors à des niveaux très bas. A noter également des entreprises qui arrivent à faire du sponsoring et du naming d’équipement sportif tout en échappant à l’impôt et bénéficient de niches fiscales. Tout revenu de la sorte doit être soumis à impôt. Les sommes brassées de manières annuelle avoisinent les 750 millions d’euros annuels rien que pour le sponsoring et naming."
"Impôts, dépenses, action publique","Taxe - évasion fiscale, transfert de fond, MoneyGram & Western Union Chaque année des sociétés comme MoneyGram & Western Union font transiter près de 200 milliards d’€ et près de 60 milliards d’€ entre l’Europe, l’Afrique et une partie de l’Asie. Dans la plus totale impunité ces transferts de fond laissent passer du blanchiment d’argent, trafic en tout genre. Là encore en mettant plus de contrôle l’état peut faire cesser une évasion fiscale et du trafic d’argent au nez et à la barde des autorités."
,"Collectivités territoriales Accentuer la création de communes nouvelles par le rassemblement des très petites communes , la mutualisation des moyens et source d'économie et permet de proposer aux citoyens des services plus efficaces"
Autre sujet,"Non au déploiement forcé des compteurs intelligents Linky  L'installation de ces compteurs ""intelligents"" devrait se faire uniquement avec le consentement des abonnés ou sur demande des abonnés. La société ENEDIS détient un monopole, le choix du consommateur n'est pas respecté lorsqu'il ne souhaite pas équiper son logement d'un compteur ""intelligent"". Ce genre de compteur ne devrait pas être imposé aux consommateurs. 

"
"Impôts, dépenses, action publique","Mutuelle, assurance maladie, remboursements & chiffre d’affaire La France compte près de 550 mutuelles. Le modèle économique ne permet pas pour une mutuelle de faire du chiffre d’affaire. Les CPAM et la CNAM sont bâties sur le même modèle, aucun chiffre d’affaire n’est autorisé. Résultat comme ces organismes sont perpétuellement en besoin de financement. Pour éviter que l’état ne mette de l’argent comme dans un puit sans fond, la solution consiste à rationaliser le nombre d’acteur d’une part.  D’autre part c’est permettre aux CPAM et la CNAM d’avoir une branche « mutuelle ». Le but final est de permettre d’avoir des « recettes » sans augmenter les cotisations. A défaut faire arriver la « balance » à zéro. Le nombre d’acteur du secteur est donc à rationnaliser également. Les « recettes » annuelles des CPAM et CNAM grâce aux cotisation sont de l’ordre de 200 milliards annuelle.  
"
"Impôts, dépenses, action publique","Défiscalisation des heures supplémentaires, des primes, de l’intéressement et de la participation  Lorsqu’une personne travaille plus c’est surtout pour gagner plus. Tout salaire gagné en travaillant en plus de manière « bonus » ne doit pas être soumis à impôt."
,"Diminution de la dépense publique Suppression du sénat, et suppression de tous les  privilèges accordés ; remboursement de frais liés à la fonction uniquement sur justificatifs   dans un soucis de diminution de la dépense publique "
,"Mandat impératif et référendum révocatoire Les élus ne peuvent bénéficier d'un chèque en blanc pendant plusieurs années  et escomptant sur le marketing politique et la propagande pour se faire réélire même si leur mandat à été improductif ou est allé à l'encontre des intérêts des électeurs.
Le mandat impératif et le référendum révocatoire permettront de de déloger de leurs postes les élus qui par exemple seraient impliqués dans des affaires de corruption ou même simplement qui n'auraient pas tenus les promesses faire aux citoyens: il seront ainsi obligés de remettre leur mandat en jeu après un délai qui reste à déterminer: 2 ans par exemple ou sans  délai en cas de corruption"
"Impôts, dépenses, action publique","CSG et retraite inégalités Je souhaite que la csg ne soit plus prelevée  sur toutes les retraites ,hormis celles des personnes assujetties à l isf ,dont je souhaite egalement le retablissement."
"Impôts, dépenses, action publique","Fin de l'Aide Médicale d'Etat pour les étrangers en situation irrégulière. L'A.M.E. c'est un coût de 1 milliard par an, alors que beaucoup de français renoncent à se soigner faute d'argent.
Cette situation den peut plus durer: Exigeons la suppression de l'A.M.E. qui est une des nombreuses pompes aspirantes de l'immigration."
Transition écologique,"Le climat, c'est notre santé: la révolution de la prévention Le climat, c’est notre santé, celle des générations actuelles et futures. Pourtant, les différentes formes de lutte contre le dérèglement climatique ne sont toujours pas comprises comme des politiques de santé, de prévention et d’hygiène. Comment faire interagir la question climatique aux autres enjeux de la santé environnement (santé au travail, pollution des milieux, perturbateurs endocriniens, etc.)?
Dans son discours de Nevers du 6 janvier 2017, le candidat Emmanuel Macron à l'élection présidentielle promet une ""révolution de la prévention"". Au moment où la France est tenue par ses engagements internationaux à engager une décarbonation rapide de son économie, pouvons-nous bâtir autour de cette ""révolution de la prévention"" une stratégie concertée entre les professionnels de la santé, de l’environnement et du climat en vue d’une meilleure visibilité et d’une plus grande efficacité de ces trois domaines de l’action publique?"
,"Prix de l'électricité Suppression des taxes sur la facture d'électricité ou limiter le taux 5 % maximum ; aujourd'hui tout fonctionnent à l'électricité ; c'est un produit de 1ère nécessité  , une obligation  et aujourd'hui les taxes représentent parfois 40% de la facture = redonner du pouvoir d'achat "
"Impôts, dépenses, action publique","Supprimer ou diminuer la CSG pour tous les RETRAITES et indexation des retraites de TOUT LE MONDE  Tout comme la TVA que tout le monde paie, la suppressions ou la diminution de la CSG pour TOUTES LES RETRAITES ainsi qu'une revalorisation de TOUTES LES RETRAITES de tout le monde sur le coût de la vie"
,"Réduction du mille-feuille administratif La France comporte 96 départements métropolitains et 11 DOM TOM. Ces collectivités comportent des aberrations en outre mers. Il faut supprimer les statuts de ""département-région"" autonome. Pour cela il faut regrouper les collectivités de Saint Martin , Saint Barthélemy, Guadeloupe , Martinique, Guyane & Saint Pierre - Miquelon dans une région unique ""Antilles - Atlantique"" , regrouper les collectivités de Mayotte et la Réunion dans une collectivité unique ""Océan Indien"", pour finir regrouper les collectivités de l'océan pacifique comme la Polynésie, Wallis et Futuna avec la Calédonie en une région unique «Océan Pacifique ».
"
"Impôts, dépenses, action publique","Arrêts des taxes sur l'automobile (18 existantes & 10 en projet) Il existe à l’heure actuelle 18 taxes sur l’automobile. Dans les cartons du gouvernement et de l’UE il y en a 10 supplémentaire dans les cartons. Parmi ces taxes on peut citer : la taxe anti bouchon voulu par l’UE, la modulation du péage en fonction de sa voiture et de la pollution, le projet de loi sur les pneus neiges, les péages urbains … Avoir près de 28 sur l’automobile deviendrait juste financièrement impossible pour bon nombre de concitoyen. Ne parlons pas des taxes et vignettes transfrontalières pour les personnes vivant à proximité de la Suisse ou l’Allemagne ou ces taxes sont encore plus. "
"Impôts, dépenses, action publique","Sauvegarde et amélioration du Pouvoir d'achat Restaurer l’indexation totale des retraites sur les salaires ou l’inflation jusqu’à 2 500€  mensuels pour une personne seule et 4 000€ pour un couple, partielle  (50%) au-delà.
Focaliser la baisse des charges sur les salaires inférieurs ou égaux à  2 500 €.
Augmenter encore la prime d’activité pour les salariés à temps plein ou à temps partiel non choisi, pas le SMIC.
"
Organisation de l’Etat et des collectivités publiques,"Décentralisation de l'État au niveau régional Je suggère un ""parlement régional"" sans rétribution aux participants ; sacro-saint argent qui pourrit les prises de décision. chaque région est différente et possède ses propres spécificités ; Toulouse et Bordeaux… ne rencontrent pas les mêmes problématiques que les Hauts-de-France ; 
Parlement composé d'une trentaine de membres, choisis par vote des citoyens dans la population de la région, représentants  tous types de catégories sociales. Sans appartenance politique ! Sans sombrer dans la ""réunionite"" ! chaque membre élu, révocable une fois par an, s'engage en signant une ""charte d'engagement"" donne son avis sur une proposition nationale nous concernant, propose, invente, innove, relaie, informe.  L'outil informatique ne sert pas qu'à relayer les ""infosses"" !"
Organisation de l’Etat et des collectivités publiques,"Réforme de l'audiovisuel publique  Supprimer les chaines tv Première outremer et France O. Ces deux chaines font du décrochage local doublon avec France 3. Autant  basculer l’ensemble sur la chaine France 3 . 
Supprimer FranceInfo TV qui alourdit les chaines d’infos 24/24. 
Conserver France 2 , 3 , 4 & 5 .
Réduction des parts de l’état français dans TV5Monde & faire mettre à contribution plus de média francophone Suisse, Belge , Canada etc … 
Abandon de France 24 qui un doublon avec FranceInfo TV qui alourdit les chaines d’infos 24/24.
Abandon de la radio MCD. 
Diminuer les part dans le groupe Arte à 33% en fusionnant Arte France / Belgique et Allemagne en une chaine unique.
Basculer LCP en web TV et libération du canal 13 de la TNT.
Abandonner les radios Le MOUV, Le Fip & France Musique.
Conserver 4 radios : RFI, France Bleu , France Inter et France Culture.
Supprimer FranceInfo Radio."
Organisation de l’Etat et des collectivités publiques,"Réduire le nombre d'administrations publiques Le nombre d'administrations publiques (état, collectivité locale, administration appartenant à l'état ... ) représente la bagatelle de 60 000 services. Dans le cadre d'une meilleure organisation des services on peut en regrouper. Par exemple la CNIL, l'ARCEP, l'HADOPI, le CSA et l'ANSSI peuvent être regroupés dans une seule et même agence voir deux maximums. Les frais de gestions en matière de personnel , de locaux , d'informatique et de service informatique seraient grandement réduit et moins couteux pour le contribuable. Des agences comme l'HADOPI pourraient même ne plus être déficitaire via un regroupement avec d'autres services à même vocation."
"Impôts, dépenses, action publique","Revenu universel & aides sociales Mettre en place un système de ""package"" par rapport au revenu universel pour éviter les abus. L'allocataire bénéficie d'un ""menu"" ou le revenu universel couvre plusieurs types d'aides (CAF,CPAM,pole emploi ...) et renonce à avoir quelques autres aides que ce soit. Autre solution il reste sur le système actuel et ne peut bénéficier du revenu universel. Cela afin de contrer les abus. 
"
Organisation de l’Etat et des collectivités publiques,"A l'image des Food truck créer l'administration mobile En milieu rural créer un service publique ""mobile"" , pour les impôts, les opérateurs télécoms, d'énergies et divers services pour que l'état et les collectivités se rapprochent des citoyens isolés. Des campings car et vans pourraient être utilisés pour cela.
"
"Impôts, dépenses, action publique","Organe – bureau de contrôle de la filiation et des groupes d’entreprises Au niveau européen dans un premier temps et au niveau mondiale dans un second temps, établir une cartographie des entreprises pour cibler quelle entreprise possède quelle autre entreprise. Ce système doit rendre obligatoire pour chaque entreprise de déclarer l’ensemble des filiales de son groupe. En cas de manquement de déclaration ou de détection d’activité illégale d’une filiale (évasion fiscale, fraude …) il sera plus facile d’attaquer les entreprises en justice pour récupérer les dues. A l’heure du big data, les entreprises savent tout sur leurs clients, il devient impératif de jouer à arme égale pour plus de transparence. Un système de détection des filiations doit permettre de bloquer un groupe qui fait du profit et de déclarer une filiale en faillite. Les données issues des recensements devront être en libre accès pour plus de transparence. 
"
"Impôts, dépenses, action publique","Stopper la construction de giratoires et ronds-points Depuis les années 1970 la France a construit 65 000 giratoires en métropole et 2 500 dans les DOM TOM. Un ouvrage de la sorte coute en moyenne 500 K€. Cela représente un investissement de 32 milliards d'€ en plus de 40 ans. En métropole entre 2016 et 2018 il y a eu 4 500 ouvrages supplémentaires, pour un cout de 2,25 milliards d'€. Ce type d'aménagement est nuisible non seulement pour l'environnement (artificialisation des sol, occupation de terre agricole) , mais également générateur d'embouteillage (donc de pollution). On ne compte plus les voies rapides ou les contournements de communes ou ces ouvrages fleurissent et génèrent des retenues, sachant que des axes en question sont fréquentés par plus 40 000 véhicules selon les cas (autour de Lille, Nantes, Toulouse, Montpellier, Nîmes …). Autour de Lille, Nantes ou Nîmes durant les heures de pointes ces infrastructures paralysent le réseau secondaire et primaire à cause des échanges non dénivelés. "
Transition écologique,"Réduction durable de la dépendance des  Français à la voiture - Mettre en place des réglementations efficaces à destination des constructeurs automobiles. A ce jour, leur  offre de véhicules n’est pas alignée avec l’accord de Paris ni avec les besoins pour les français de réduire leur vulnérabilité à la hausse des prix des 
carburants. 
- Une échéance de moyen terme doit être fixée dans la loi mobilités pour interdire à la vente les véhicules diesel et essence.  Pour se donner le plus de chances de limiter le réchauffement de la planète au plus près de 1,5°C, le cap doit être établi à un horizon 2030. 
Ce signal clair donné aux constructeurs automobiles est indispensable pour que dès à présent, ces derniers développent des véhicules adaptés, moins énergivores en ressources énergétiques. "
Organisation de l’Etat et des collectivités publiques,"Renforcement de l'économie sociale et solidaire et de l'économie collaborative - Garantir son accès au financement et aux marchés publics
- Reconnaître un droit de préemption aux salariés pour former une coopérative en cas de fermeture ou de vente de leur entreprise
- Encadrer le développement des activités liées à l'économie collaborative pour préserver le caractère de partage et d'utilité sociale contre la privatisation, l'évasion fiscale, la concurrence déloyale et stopper l'""ubérisation"" des activités"
Organisation de l’Etat et des collectivités publiques,"Hauts fonctionnaires, salaires & nombres La France dispose de 21 500 hauts fonctionnaires, dont 650 hauts fonctionnaires avec des salaires de plus 180 000 € annuels bruts. L’ensemble de ces fonctionnaires se retrouvent dans les ministères, hautes administrations (CNAM, CNAV …) et quelques 60 000 administrations publiques. Afin de faire des économies le nombre de hauts fonctionnaires ainsi que les avantages liés aux postes sont à réformer. La suppression des échelons pyramidale est aussi à effectuer pour réduire la course aux titres des fonctions dans les hautes sphères de l’état.  "
"Impôts, dépenses, action publique","Bénéficier de son épargne collective - salariale, PERE, PERCO et fin de contrat de travail Lorsqu’un salarié quitte une entreprise celui-ci doit pouvoir bénéficier de l’intégralité des avoirs que l’entreprise lui a mis à disposition. Souvent par méconnaissance ce type d’épargne dort sur des comptes et n’est pas réclamé. Les organismes financiers se servent dessus en frais de gestion annuel, jusqu’à épuisement des fonds. Dans d’autre cas avec les PERCO les sommes ne sont pas récupérables avant la retraite du salarié. Ce type de situation est pénalisante pour les personnes en contrat court de type CDD/Intérim qui ont besoin de cet argent. L’argent est bloqué, une condition de doit être instauré pour que le salarié bénéficie de 100% de ces avoirs une fois l’entreprise quittée. Les personnes ayant eu de nombreux CDD / intérim se retrouvent souvent avec 4 voire 5 PERCO bloqué."
Démocratie et citoyenneté,"Transformation du train de vie de ""nos représentants"" Afin de permettre l'évolution et ""l'efficacité"" de notre démocratie institutionnelle: 
- Diminution effective de moitié des élus
- Fin des rémunérations et des avantages à vie liés à la fonction des représentants de l'état (présidents, députés, sénateurs, hauts fonctionnaires...)
- Plafond des rémunérations
- Justification et  contrôle des frais des élus, sanctions afférentes
- Cumul de mandats prohibé 
- Baisse de rémunération des chefs d'entreprises d'état
- Accélération du processus de décisions à l'Assemblée Nationale et au Sénat
- Ouverture du sénat à d'autres corps électoraux, à d'autres représentants de la Société Civile
"
"Impôts, dépenses, action publique",Enlever niveaux pour l'accès aux aides Il me semble injuste de définir des niveaux a l'Euro près pour avoir droit ou non a une aide. Il serait plus équitable de faire un diminution linéaire de l'aide.
"Impôts, dépenses, action publique","Actualisation & trop perçus Pôle Emploi Chaque mois les personnes en situations de chômage ou travail temporaire doivent s’actualiser à Pôle Emploi. Trop souvent encore ce système connait ces limites, documents des attestations Assedic non pris en charge par Pôle Emploi, oublie de considération de documents, système d’actualisation peut clair …. Résultat chaque année cela génère de plus en plus de trop perçu, de l’ordre de 1 milliards d’€ en 2018. Pour éviter de telles situations avec des chômeurs aux pieds du mur à devoir rembourser des sommes qu’ils n’ont pas les moyens de rendre, c’est retravailler le système de déclaration mensuelle plus finement. Par exemple avec un système calendaire, séparer le type de salaire (salaire, prime, indemnité … ) . Bon nombre de chômeurs se font avoir avec le système actuel de déclaration du salaire lors d’une fin de contrat. Ici encore en guidant mieux le publique un gâchis d’argent publique, ainsi qu’éviter de mettre des personnes en difficulté financière est réalisable."
Démocratie et citoyenneté,"Maitriser l'immigration: Fin du regroupement familial et droit du sang pour l'acquisition de la nationalité. Selon un sondage de 2016 ,une large majorité de Français (59%) se dit favorable à la suppression du regroupement familial, un dispositif instauré en 1976 en France, qui constitue l'essentiel des entrées d'étrangers en France. 
250 000 étrangers arrivent légalement chaque année , soit 1 millions tous les 4 ans! et ne parlons pas des clandestins qui ne sont même plus reconduits à la frontière... 20 000 expulsions par an, une goutte d'eau  Le peuple Français n'a jamais été consulté sur l'accueil de tant d'étrangers au point de voir notre culture,  notre mode de vie bouleversés .
 A Mayotte le gouvernement français a restreint le droit du sol face à aux Comoriennes qui  accouche à Mayotte pour que leur enfants deviennent  Français, ce qui est valable pour Mayotte doit l’être pour tout le territoire français: Suppression du droit du sol et re-instauration du droit du sang pour l'acquisition de la nationalité "
"Impôts, dépenses, action publique",Revoir le fonctionnement des aides pour les gardes d'enfants Le remboursement de la CAF pour le libre mode de garde devrait être payé directement aux crèches et non en remboursement. Actuellement cela peut induire des situations difficile pour les parents.
Autre sujet,"Sortir du surendettement sans dossier de surendettement Créer une charte avec huissiers, banques, organismes de prêts et organismes collecteurs ( impôts, Urssaf ... ) pour aider les gens qui choisissent de ne pas déposer un dossier de surendettement et de régler leurs dettes par échelonnement. Cette charte interdira les pratiques de recouvrement abusives qui poussent les débiteurs à abandonner leurs démarches et qui ne facilitent pas les issues positives. Si vous choisissez de payer , on réduit vos dettes, on vous aide à les regrouper malgré une interdiction bancaire. "
Autre sujet,"Revoir ses pratiques Quelque soit le sujet , la question n'est pas où doit-on réduire les dépenses ou que doit-on augmenter mais est-ce que ce que nous faisons est encore efficient actuellement.(ex) : est-ce que notre système éducatif est encore le meilleur au monde? non, comment y remédier, oui, il faut le conserver. On nous demande de faire des choix sur des coupes budgétaires ou sur d'autres sujets sans que l'on se soit intéressé à nos pratiques. De véritables analyses doivent être réalisées et les français doivent réfléchir à modifier leurs pratiques. Il ne faut pas rester sur des systèmes pouvant entraîner notre perte, simplement pour une question de principes syndicales ou sociales. Le service public est indispensable. la prise en compte de la mondialisation est indispensable. La transition écologique est primordiale pour notre survie. Les efforts doivent être collectifs mais également individuels. Des exemples dans des pays étrangers existent dans tous les domaines et ils ont fait leur preuve. "
Autre sujet,"Création d’une police militaire et renforcement des forces de l’ordre La France compte 150 000 policiers, 100 000 gendarmes et quelques 17 000 douaniers. D’année en année il manque de plus en plus de force de l’ordre malgré cela. Pour réaffecter des hommes, une solution simple existe. Convertir des militaires du rang en « police militaire ». Une formation militaire est une base pour devenir policier. En rapatriant une partie des quelques 17 000 militaires en opérations extérieurs, ainsi que des militaires de réserves on pourrait réaffecter entre 10 à 20 %  dans les forces de les forces de l’ordre conventionnelles. Cela ne coute rien au contribuable car on se limite au strict personnel existant.
"
,"Organisation des services publiques  Fonctionnaires  Réformer les services publiques notamment l’éducation nationale : en diminuer les effectifs, augmenter les temps de travail, beaucoup  mieux rémunérer les enseignants, avec prime au mérite.
Repasser au crible tout ce qui est fonctionnarisé et privatiser ce qui peut l’être, partout (pole emploi ?). 
Suppression des augmentations de salaire des fonctionnaires à l’ancienneté, redistribuer la masse qui lui était consacrée en augmentations individuelles.
"
"Impôts, dépenses, action publique","Retraite maximum Plafonner la retraite sous forme de ""retraite maximum"" pour les personnes ayant eu des salaires de plus de 150 000 € brutes annuelle durant 10 années consécutives avant la retraite. Minimiser la revalorisation à 1 euros ou 1 centime symbolique lorsque les pensions bénéficient d'une hausse. "
Autre sujet,"Supprimer plusieurs types de contrats de travail  Les entreprises sont friandes des contrats précaires au détriment des salariés. Entre le portage salarial ou l’on prend une commission selon que vous ou votre employeur trouve le client, le travailleur détaché, le cdi intérim, la prestation de service, l’autoentreprise ou le salaire tombe à 45 jours … Parmi tous ces contrats l’un d’eux est vraiment dangereux. Une entreprise étrangère établie en France vous paye depuis son siège situé à l’étranger, résultat seules les cotisations sécu sont payées, pas les cotisations chômages. En fin de période d’essai vous n’êtes pas embauché ? L’équation est simple au chômage, sans ressources car l’entreprise n’a pas cotisé pour le chômage, situation financière précaire."
"Impôts, dépenses, action publique","Réorganiser les sites web administratif par type de guichet  On ne compte plus le nombre de services en ligne doublon ou bien qui oblige de basculer entre plusieurs administration. D’office on devrait en conserver 6 (impôts, assurance retraite, assurance maladie, aide sociale, pôle emploi, administratif divers).  
Pour preuve il existe 3 sites en lien avec l’assurance retraite : https://www.lassuranceretraite.fr , www.agirc-arrco.fr , https://www.info-retraite.fr . Une plateforme unique est plus simple de fonctionnement et en cout de gestion. Autre exemple, il existe 2 sites en lien avec l’emploi : pole-emploi.fr et https://www.moncompteactivite.gouv.fr . 
Des sites divers tel que les contacts avec la CNIL, le dépôt de plainte en ligne, le service bloctel, l’inscription sur liste rouge , la demande d’extrait de casier judiciaire, le renouvellement de document d’identité doivent basculer sur un guichet unique qu’est https://www.service-public.fr .
"
Organisation de l’Etat et des collectivités publiques,"Rationaliser le nombre d'échelons administratifs En France les échelons administratifs sont les suivant : comité de quartier , arrondissement de ville , ville , circonscription (en lien avec le découpage électoral) , interco , métropole , arrondissement de département , département , région , état , Europe . Cela fait 11 échelons . Nous devons en réduire le nombre drastiquement en commençant par le comité de quartiers, les circonscriptions et  les arrondissements de département.
"
"Impôts, dépenses, action publique","Frais de port, taxe de douane, transit des containers et import de marchandise Avec le boom du E-commerce et la mondialisation de plus en plus de bien manufacturés viennent d’Asie et en particulier de Chine. Un vaste système d’évasion fiscale arrive en provenance de Chine. En effet les flux de marchandises arrivant dans les ports sont plus difficilement contrôlables que dans les aéroports. Résultat les douanes se retrouvent à laisser passer des quantités marchandises importées par bateau. Cette marchandise va échapper à la TVA, au frais de port et au frais de douane. Chaque année 3 à 6 milliards d’€ sont perdues par l’état faute de pouvoir contrôler suffisamment les containers dans les ports."
Démocratie et citoyenneté,"Prison, criminalité, délit et peines exemplaires  De plus en plus la population carcérale est en constante augmentation avec des taux d’occupations au-dessus des 100 %. Pour remédier au problème il existe plusieurs solutions somme toute simple. Réouverture des « bagnes » ou « goulag » moderne avec encadrement militaire obligatoire durant 3 à 5 ans pour les détenus et les recadrer. Ces camps pour remettre dans le droit chemin, peuvent être ouverts en Guyane pour avoir un environnement dur qui n’est pas une promenade de santé avec la jungle amazonienne. Toute personne qui obtient la nationalité, commet de graves faits, se verrait amputé de sa nationalité avec un retour dans son pays d’origine avec interdiction à vis du territoire français. Toute personne qui commet de graves faits cette fois dans un pays étranger doit être jugé et emprisonné dans le pays ou le méfait a été commis, la justice française n’est pas supérieure à celle d’un autre pays.
"
"Impôts, dépenses, action publique","Imposer tous les revenus Tous les revenus doivent être déclarés et rentrer dans la base imposable, les heures supplémentaires, les allocations familiales, les salaires des assistantes maternelles... Tout le monde doit participer à l'impôt quel que soit son revenu, le plus minime soit-il. Il faut ( re)créer une tranche d'impôt à 50 % voire plus. "
"Impôts, dépenses, action publique","CSG , retraite & baisse des cotisations  Supprimer la CSG sur les petites retraites, sur le reste conserver le taux le plus bas possible."
